SHORT_NAME,MMP_SITE_NAME
,Barnards
,Dent
,Dunk South
,Fitzroy East
,Franklands East
,Havannah
,Havannah North
,Hayman
,Lady Elliot
,Langford
,Low Isles
,Middle
,Middle Rf
,North Keppel
,Palms East
,Pandora North
,Peak
,Shute Harbour
,Snapper South
,Holbourne West
,Holbourne East
,Camp East
,Camp West
,Manning
,Farmers
,Rat
,Facing
,Seal Rocks North
,Seal Rocks South
,Border
,Fitzroy West LTMP
,Middle Rf LTMP
,Keswick
,Round
,Slade
,Victor
AE04,Egret and Boulder Reef
Aquila,Aquila
AR01,Annan mouth
AR02b,Walker Bay
AR03b,Dawson Reef
BD1,Snapper North
BR01,Bizant River mouth
BUR1,Palms West
BUR10,Yongala
BUR11,Cape Bowling Green
BUR12,Plantation Creek
BUR13,Burdekin River mouth mooring
BUR14,Burdekin Mouth 2
BUR15,Burdekin Mouth 3
BUR2,Pandora
BUR3,Cordelia Rocks
BUR4,Magnetic
BUR5,Inner Cleveland Bay
BUR6,Cape Cleveland
BUR7,Haughton 2
BUR8,Haughton River mouth
BUR9,Barratta Creek
C1,Cape Tribulation
C10,Cape Grafton
C11,Green Island
C2,Black Rock / Snapper Island
C3,Daintree River mouth
C4,Port Douglas
C5,Double Island
C6,Yorkey's Knob
C7,Cairns airport
C8,Fairlead Buoy
C9,Mission Bay
CI01,Cliff Isles
Connor,Connor
ER01,Endeavour mouth
ER02b,Endeavour north shore
ER03,Endeavour offshore
ER05,Big Uncharted Reef
ER06,Forrester FLNTU
FTZ1,Barren
FTZ2,Keppels South
FTZ3,Pelican
FTZ4,North Keppel Island
FTZ5,Peak West
FTZ6,Fitzroy River Mouth
Henderson,Henderson
KR01,Kennedy River mouth
KR02,Kennedy inshore
NR01,Normanby River mouth
NR02,Normanby inshore
NR03,NR03
NR04,NR04
NR05,NR05
NR06,Corbett Reef
Pine Islets,Pine Islets
Pine Peak,Pine Peak
PRBB,Middle Reef
PRN01,Pascoe River mouth north
PRN02,PRN02
PRN03,PRN03
PRN04,PRN04
PRN05,Eel Reef
PRN06,Eel Reef North
PRS01,Pascoe River mouth south
PRS02,PRS02
PRS03,PRS03
PRS05,PRS05
PRS2.5,PRS2.5
RM-14114S,Macgillivray
RM-14116S,Lizard
RM-14123S,Martin
RM-14126S,Linnet
RM-14137S,Carter
RM-14138S,Yonge
RM-14139S,No Name
RM-14143S,North Direction
RM-15099C,Agincourt 1
RM-16015S,Mackay
RM-16019S,St Crispin
RM-16025S2,Opal 2
RM-16049S,Green
RM-16057S,Hastings
RM-16060S,Michaelmas
RM-16064S,Arlington
RM-16068S,Thetford
RM-16071S,Moore
RM-17014S,Hedley
RM-17016S,Mcculloch
RM-17024S,Peart
RM-17034S,Feather
RM-17063A,Farquharson 1
RM-17064S,Taylor
RM-18030S,Kelso
RM-18031S,Little Kelso
RM-18032S,Rib
RM-18034S,Myrmidon
RM-18039S,Dip
RM-18042S,Roxburgh
RM-18043S,Fore And Aft
RM-18075S,John Brewer
RM-18076S,Helix
RM-18077S,Grub
RM-18081S,Knife
RM-18083S,Fork
RM-18086S,Chicken
RM-18088S,Centipede
RM-18091S,Lynchs
RM-18096S,Davies
RM-19131S,Reef 19131
RM-19138S,Reef 19138
RM-19159S,Slate
RM-19207S,Hyde
RM-19209S,Rebe
RM-20104S,Reef 20104
RM-20309S,Tern
RM-20348S,Reef 20348
RM-20351A,Pompey 1
RM-20351B,Pompey 2
RM-20353S,Reef 20353
RM-21025S,Penrith
RM-21060S,Reef 21060
RM-21062S,Reef 21062
RM-21064S,Reef 21064
RM-21139S,Reef 21139
RM-21187S,Reef 21187
RM-21245S,Reef 21245
RM-21278S,Reef 21278
RM-21296S,Reef 21296
RM-21302S,Reef 21302
RM-21305S,East Cay
RM-21529S,Reef 21529
RM-21550S,Reef 21550
RM-21556S,Gannett Cay
RM-21558S,Reef 21558
RM-21562S,Turner
RM-21572S,Small Lagoon
RM-21584S,Jenkins
RM-21588S,Wade
RM-21591S,Reef 21591
RM-22084S,Reef 22084
RM-22088S,Snake
RM-22102S,Chinaman Reef
RM-22104S,Horseshoe
RM-23045A,North Reef North
RM-23048S,Broomfield
RM-23051S,Wreck
RM-23055S,One Tree
RM-23068S,Erskine
RM-23069S,Mast Head
RM-23079S,Boult
RM-23080S,Hoskyn Islands
RM-23081S,Fairfax Islands
RM-23082S,Lady Musgrave
RM1,Fitzroy West
RM10,Russell Mulgrave Mouth Mooring
RM11,Russell-Mulgrave River mouth
RM12,Russell-Mulgrave junction
RM2,RM2
RM3,RM3
RM4,RM4
RM5,High East
RM6,Normanby Island
RM7,Franklands West
RM8,High West
RM9,Palmer Point
SR00,Stewart River mouth
SR01,SR01
SR02,SR02
SR03,SR03
SR04,Burkitt Island
SR05,Hannah Island
SR06,Magpie Reef
Temple,Temple
TUL1,King
TUL10,Tully River mouth mooring
TUL11,Tully River
TUL2,Clump Point East
TUL3,Dunk North
TUL4,South Mission Beach
TUL5,Dunk Island South East
TUL6,Between Tam O'Shanter and Timana
TUL7,Hull River mouth
TUL8,Bedarra
TUL9,Triplets
WHI0,Daydream
WHI1,Double Cone
WHI10,Sand Bay
WHI11,Pioneer River mouth
WHI2,Hook
WHI3,North Molle Island
WHI4,Pine
WHI5,Seaforth
WHI6,OConnell River mouth
WHI7,Repulse Islands dive mooring
WHI8,Rabbit Island NE
WHI9,Brampton Island
